detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Cosine,6,336,5,percentile attack,0.028527021408081055,0.026526451110839844,0.0,0.0,0.0,0.22698163986206055,1,0,0,0
Cosine,6,336,5,percentile attack,0.046864986419677734,0.031240224838256836,0.015624761581420898,0.0,0.0,0.22075414657592773,1,0,0,0
Cosine,6,336,5,percentile attack,0.04689216613769531,0.031270503997802734,0.015621662139892578,0.0,0.01597738265991211,0.21734285354614258,1,0,0,0
Cosine,6,336,5,percentile attack,0.034648895263671875,0.034648895263671875,0.0,0.0,0.0,0.24082231521606445,1,0,0,0
