0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
126,9,6,1,2,0,1,0,1,0,0,0,0,0,0,0
8,6,2,1,1,0,2,1,0,0,1,0,0,0,0,0
6,3,11,3,4,1,3,0,4,0,2,0,0,0,0,0
1,1,11,7,1,0,0,0,1,1,0,0,0,0,0,0
2,1,3,4,1,3,0,1,0,0,0,0,0,0,1,0
2,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0
0,2,0,0,1,2,1,1,1,1,1,1,0,0,0,0
0,0,1,2,3,0,1,3,3,0,0,0,0,0,0,0
1,0,2,1,3,1,1,1,7,6,4,0,1,0,0,0
0,0,0,0,0,1,0,1,6,0,0,1,0,0,0,0
0,0,0,2,0,0,0,2,5,0,0,0,2,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
