0,1,2,3,4,5,6,7,8,9
113,10,2,0,1,2,0,1,0,1
15,32,13,6,1,0,2,1,1,0
2,20,29,10,3,0,2,1,0,0
0,4,14,7,3,1,0,1,2,0
0,1,3,3,0,1,1,1,0,0
0,1,3,2,1,1,0,0,0,0
0,2,3,0,0,0,1,1,0,0
0,0,1,2,1,2,0,0,0,0
0,1,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
