0,1,2,3,4,5,6,7,8,9,10,11,12,13
116,11,6,2,1,1,1,0,0,0,0,0,0,0
15,6,4,1,0,1,1,0,2,0,0,0,0,0
4,9,19,13,3,1,0,0,0,0,1,0,1,0
1,1,16,31,7,2,0,3,1,0,0,0,0,0
2,1,2,9,8,1,1,0,0,0,0,0,0,0
0,0,1,3,2,2,1,0,1,0,0,0,0,1
0,2,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0
