0,1,2,3,4,5,6,7,8,9,10
121,5,8,3,0,0,2,2,1,0,1
10,6,5,1,2,0,0,0,0,0,0
9,5,11,10,3,1,0,0,0,0,0
3,2,13,32,8,1,1,2,0,0,0
0,1,2,11,13,7,0,1,0,0,0
0,2,0,2,6,1,0,1,1,0,0
0,0,0,1,1,2,0,0,1,0,0
0,1,0,1,1,0,1,0,0,2,0
0,2,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0
