0,1,2,3,4,5,6,7,8,9,10,11
107,16,4,2,1,1,0,1,0,0,0,0
18,28,12,2,3,1,2,1,0,0,1,1
4,18,34,11,3,2,2,0,1,0,0,0
0,3,15,6,3,0,0,0,0,0,0,0
1,1,4,3,4,1,1,0,0,1,0,0
1,2,2,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
