0,1,2,3,4,5,6,7,8,9,10
119,12,2,4,2,0,0,2,0,0,0
18,6,7,2,0,1,1,0,0,0,0
3,7,15,15,2,3,3,0,0,0,1
1,4,20,28,4,2,1,2,0,1,0
0,2,5,4,3,0,1,0,1,0,0
0,1,1,4,2,2,0,1,1,0,0
0,1,0,2,1,2,0,0,2,0,0
0,1,0,2,0,1,1,0,0,0,0
0,0,0,1,2,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
