0,1,2,3,4,5,6,7,8,9
119,11,9,2,2,1,0,1,0,1
19,9,6,3,1,0,1,0,0,0
5,13,25,19,3,2,0,0,0,0
2,1,21,19,3,1,0,2,0,0
1,2,3,3,1,2,0,1,0,0
0,3,2,2,1,1,0,0,0,0
0,0,0,1,0,1,1,0,0,0
0,0,1,0,2,0,0,3,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
