0,1,2,3,4,5,6,7,8,9,10
116,14,4,0,1,1,1,0,0,0,0
17,22,4,5,1,2,0,0,1,0,0
2,9,18,13,2,0,2,0,0,1,0
0,5,14,23,6,1,0,1,0,0,1
0,2,1,7,5,3,0,2,0,0,0
1,0,3,1,2,3,2,1,0,0,0
0,0,2,1,2,1,2,0,0,0,0
0,0,0,0,2,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
