0,1,2,3,4,5,6,7,8,9,10,11,12
115,11,4,2,2,2,1,0,1,0,1,0,0
14,24,9,5,0,1,2,0,1,0,1,0,0
7,7,27,12,6,1,1,0,0,0,0,1,0
1,4,15,5,3,0,0,1,0,0,0,0,0
0,6,3,3,1,2,0,0,1,1,0,0,0
1,1,1,2,2,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,3,0,0,0,0,0
0,2,1,1,1,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
