0,1,2,3,4,5,6,7,8,9,10,11
112,16,5,0,1,3,1,0,2,0,0,1
20,13,14,4,1,0,0,0,0,1,0,0
6,15,21,16,4,1,1,0,0,0,0,0
1,4,16,12,7,0,0,0,0,0,0,0
0,1,6,4,1,3,0,1,0,1,1,0
0,3,1,2,2,0,0,0,0,0,0,0
0,1,0,0,2,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
