detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,30,336,10,anomalous,0.15967106819152832,0.04298520088195801,10,0,0,5
Hamming,30,336,15,normal,0.16365528106689453,0.04133105278015137,0,12,3,0
Hamming,30,336,15,anomalous,0.16365528106689453,0.0427851676940918,10,0,0,5
Hamming,40,336,1,normal,0.19138002395629883,0.04945778846740723,0,14,1,0
Hamming,40,336,1,anomalous,0.19138002395629883,0.0507960319519043,10,0,0,5
Hamming,40,336,2.5,normal,0.1916518211364746,0.04884982109069824,0,14,1,0
Hamming,40,336,2.5,anomalous,0.1916518211364746,0.05127906799316406,10,0,0,5
Hamming,40,336,5,normal,0.18749690055847168,0.04871201515197754,0,13,2,0
Hamming,40,336,5,anomalous,0.18749690055847168,0.052968740463256836,10,0,0,5
Hamming,40,336,10,normal,0.1873769760131836,0.04899096488952637,0,13,2,0
Hamming,40,336,10,anomalous,0.1873769760131836,0.051943063735961914,10,0,0,5
Hamming,40,336,15,normal,0.19069695472717285,0.049291133880615234,0,12,3,0
Hamming,40,336,15,anomalous,0.19069695472717285,0.05081605911254883,11,0,0,4
Hamming,50,336,1,normal,0.2217090129852295,0.056607723236083984,0,14,1,0
Hamming,50,336,1,anomalous,0.2217090129852295,0.061036109924316406,5,0,0,10
Hamming,50,336,2.5,normal,0.22054719924926758,0.057585716247558594,0,14,1,0
Hamming,50,336,2.5,anomalous,0.22054719924926758,0.060739994049072266,6,0,0,9
Hamming,50,336,5,normal,0.22115015983581543,0.056819915771484375,0,13,2,0
Hamming,50,336,5,anomalous,0.22115015983581543,0.060819149017333984,9,0,0,6
Hamming,50,336,10,normal,0.21817517280578613,0.05696535110473633,0,13,2,0
Hamming,50,336,10,anomalous,0.21817517280578613,0.06380295753479004,9,0,0,6
Hamming,50,336,15,normal,0.21979522705078125,0.0567469596862793,0,13,2,0
Hamming,50,336,15,anomalous,0.21979522705078125,0.061563968658447266,10,0,0,5
Hamming,10,672,1,normal,0.07308697700500488,0.017985105514526367,0,6,1,0
Hamming,10,672,1,anomalous,0.07308697700500488,0.01776909828186035,5,0,0,2
Hamming,10,672,2.5,normal,0.07059717178344727,0.01810908317565918,0,6,1,0
Hamming,10,672,2.5,anomalous,0.07059717178344727,0.017742156982421875,5,0,0,2
Hamming,10,672,5,normal,0.07020902633666992,0.019313812255859375,0,6,1,0
Hamming,10,672,5,anomalous,0.07020902633666992,0.018368959426879883,5,0,0,2
Hamming,10,672,10,normal,0.07080507278442383,0.01786208152770996,0,5,2,0
Hamming,10,672,10,anomalous,0.07080507278442383,0.01822209358215332,5,0,0,2
Hamming,10,672,15,normal,0.06989789009094238,0.018000125885009766,0,5,2,0
Hamming,10,672,15,anomalous,0.06989789009094238,0.017794132232666016,5,0,0,2
Hamming,20,672,1,normal,0.08664798736572266,0.023138046264648438,0,7,0,0
Hamming,20,672,1,anomalous,0.08664798736572266,0.022752761840820312,5,0,0,2
Hamming,20,672,2.5,normal,0.08489394187927246,0.022879838943481445,0,7,0,0
Hamming,20,672,2.5,anomalous,0.08489394187927246,0.023051023483276367,5,0,0,2
Hamming,20,672,5,normal,0.08567404747009277,0.02295398712158203,0,7,0,0
Hamming,20,672,5,anomalous,0.08567404747009277,0.023041963577270508,5,0,0,2
Hamming,20,672,10,normal,0.08521699905395508,0.023051023483276367,0,6,1,0
Hamming,20,672,10,anomalous,0.08521699905395508,0.02368617057800293,6,0,0,1
Hamming,20,672,15,normal,0.08782720565795898,0.022833824157714844,0,6,1,0
Hamming,20,672,15,anomalous,0.08782720565795898,0.022876977920532227,6,0,0,1
Hamming,30,672,1,normal,0.10316109657287598,0.028007984161376953,0,6,1,0
Hamming,30,672,1,anomalous,0.10316109657287598,0.02820420265197754,5,0,0,2
Hamming,30,672,2.5,normal,0.10501313209533691,0.027976036071777344,0,6,1,0
Hamming,30,672,2.5,anomalous,0.10501313209533691,0.02904486656188965,5,0,0,2
Hamming,30,672,5,normal,0.10177087783813477,0.027533769607543945,0,6,1,0
Hamming,30,672,5,anomalous,0.10177087783813477,0.028002023696899414,5,0,0,2
Hamming,30,672,10,normal,0.1026601791381836,0.02781224250793457,0,6,1,0
Hamming,30,672,10,anomalous,0.1026601791381836,0.027950763702392578,5,0,0,2
Hamming,30,672,15,normal,0.10170483589172363,0.02785205841064453,0,5,2,0
Hamming,30,672,15,anomalous,0.10170483589172363,0.029232025146484375,6,0,0,1
Hamming,40,672,1,normal,0.11996006965637207,0.03283882141113281,0,6,1,0
Hamming,40,672,1,anomalous,0.11996006965637207,0.03473091125488281,4,0,0,3
Hamming,40,672,2.5,normal,0.12456893920898438,0.034352779388427734,0,6,1,0
Hamming,40,672,2.5,anomalous,0.12456893920898438,0.03449130058288574,5,0,0,2
Hamming,40,672,5,normal,0.13241291046142578,0.03563523292541504,0,5,2,0
Hamming,40,672,5,anomalous,0.13241291046142578,0.03754091262817383,5,0,0,2
Hamming,40,672,10,normal,0.13393092155456543,0.03529691696166992,0,5,2,0
Hamming,40,672,10,anomalous,0.13393092155456543,0.036377906799316406,5,0,0,2
Hamming,40,672,15,normal,0.13088083267211914,0.03665566444396973,0,5,2,0
Hamming,40,672,15,anomalous,0.13088083267211914,0.03614377975463867,5,0,0,2
Hamming,50,672,1,normal,0.14964008331298828,0.03833723068237305,0,6,1,0
Hamming,50,672,1,anomalous,0.14964008331298828,0.039879798889160156,5,0,0,2
Hamming,50,672,2.5,normal,0.14638876914978027,0.043393850326538086,0,6,1,0
Hamming,50,672,2.5,anomalous,0.14638876914978027,0.048702239990234375,5,0,0,2
Hamming,50,672,5,normal,0.15623235702514648,0.03846406936645508,0,6,1,0
Hamming,50,672,5,anomalous,0.15623235702514648,0.03885912895202637,5,0,0,2
Hamming,50,672,10,normal,0.1474440097808838,0.04186701774597168,0,6,1,0
Hamming,50,672,10,anomalous,0.1474440097808838,0.04370570182800293,5,0,0,2
Hamming,50,672,15,normal,0.15485596656799316,0.04114985466003418,0,6,1,0
Hamming,50,672,15,anomalous,0.15485596656799316,0.04256892204284668,5,0,0,2
Hamming,10,1008,1,normal,0.06191372871398926,0.0161740779876709,0,4,1,0
Hamming,10,1008,1,anomalous,0.06191372871398926,0.016453027725219727,3,0,0,2
Hamming,10,1008,2.5,normal,0.06148409843444824,0.0174868106842041,0,4,1,0
Hamming,10,1008,2.5,anomalous,0.06148409843444824,0.01852703094482422,3,0,0,2
Hamming,10,1008,5,normal,0.06298303604125977,0.017379045486450195,0,4,1,0
Hamming,10,1008,5,anomalous,0.06298303604125977,0.017075061798095703,3,0,0,2
Hamming,10,1008,10,normal,0.06065678596496582,0.015659809112548828,0,3,2,0
Hamming,10,1008,10,anomalous,0.06065678596496582,0.015965938568115234,3,0,0,2
Hamming,10,1008,15,normal,0.058561086654663086,0.01557612419128418,0,3,2,0
Hamming,10,1008,15,anomalous,0.058561086654663086,0.016169309616088867,3,0,0,2
Hamming,20,1008,1,normal,0.07763886451721191,0.02233290672302246,0,4,1,0
Hamming,20,1008,1,anomalous,0.07763886451721191,0.021921873092651367,4,0,0,1
Hamming,20,1008,2.5,normal,0.07987618446350098,0.02134084701538086,0,4,1,0
Hamming,20,1008,2.5,anomalous,0.07987618446350098,0.021106958389282227,4,0,0,1
Hamming,20,1008,5,normal,0.07213902473449707,0.019895076751708984,0,4,1,0
Hamming,20,1008,5,anomalous,0.07213902473449707,0.020128965377807617,4,0,0,1
Hamming,20,1008,10,normal,0.08595395088195801,0.035513877868652344,0,4,1,0
Hamming,20,1008,10,anomalous,0.08595395088195801,0.021502971649169922,4,0,0,1
Hamming,20,1008,15,normal,0.0930640697479248,0.023007869720458984,0,3,2,0
Hamming,20,1008,15,anomalous,0.0930640697479248,0.021767139434814453,4,0,0,1
Hamming,30,1008,1,normal,0.08273983001708984,0.024597883224487305,0,3,2,0
Hamming,30,1008,1,anomalous,0.08273983001708984,0.024343013763427734,4,0,0,1
Hamming,30,1008,2.5,normal,0.08314275741577148,0.024840831756591797,0,3,2,0
Hamming,30,1008,2.5,anomalous,0.08314275741577148,0.024638891220092773,4,0,0,1
Hamming,30,1008,5,normal,0.08709192276000977,0.0248110294342041,0,3,2,0
Hamming,30,1008,5,anomalous,0.08709192276000977,0.02448105812072754,4,0,0,1
Hamming,30,1008,10,normal,0.08744692802429199,0.02993011474609375,0,3,2,0
Hamming,30,1008,10,anomalous,0.08744692802429199,0.025665998458862305,4,0,0,1
Hamming,30,1008,15,normal,0.10084104537963867,0.030701637268066406,0,3,2,0
Hamming,30,1008,15,anomalous,0.10084104537963867,0.031620025634765625,4,0,0,1
Hamming,40,1008,1,normal,0.12086296081542969,0.03143596649169922,0,4,1,0
Hamming,40,1008,1,anomalous,0.12086296081542969,0.04964303970336914,4,0,0,1
Hamming,40,1008,2.5,normal,0.1173100471496582,0.03130197525024414,0,4,1,0
Hamming,40,1008,2.5,anomalous,0.1173100471496582,0.030816078186035156,4,0,0,1
Hamming,40,1008,5,normal,0.1043848991394043,0.03258514404296875,0,4,1,0
Hamming,40,1008,5,anomalous,0.1043848991394043,0.031190156936645508,4,0,0,1
Hamming,40,1008,10,normal,0.10861587524414062,0.03133702278137207,0,2,3,0
Hamming,40,1008,10,anomalous,0.10861587524414062,0.030865907669067383,4,0,0,1
Hamming,40,1008,15,normal,0.10788297653198242,0.04042792320251465,0,2,3,0
Hamming,40,1008,15,anomalous,0.10788297653198242,0.034802913665771484,4,0,0,1
Hamming,50,1008,1,normal,0.1266937255859375,0.041799068450927734,0,4,1,0
Hamming,50,1008,1,anomalous,0.1266937255859375,0.038146018981933594,4,0,0,1
Hamming,50,1008,2.5,normal,0.14019083976745605,0.04009413719177246,0,4,1,0
Hamming,50,1008,2.5,anomalous,0.14019083976745605,0.042169809341430664,4,0,0,1
Hamming,50,1008,5,normal,0.1340479850769043,0.03488588333129883,0,3,2,0
Hamming,50,1008,5,anomalous,0.1340479850769043,0.034699201583862305,4,0,0,1
Hamming,50,1008,10,normal,0.11552190780639648,0.03509879112243652,0,2,3,0
Hamming,50,1008,10,anomalous,0.11552190780639648,0.03753399848937988,4,0,0,1
Hamming,50,1008,15,normal,0.12500905990600586,0.035898685455322266,0,2,3,0
Hamming,50,1008,15,anomalous,0.12500905990600586,0.037351131439208984,4,0,0,1
Clark,10,84,1,normal,0.31712794303894043,0.07944893836975098,0,59,1,0
Clark,10,84,1,anomalous,0.31712794303894043,0.0899801254272461,0,0,0,60
Clark,10,84,2.5,normal,0.3191699981689453,0.0786600112915039,0,59,1,0
Clark,10,84,2.5,anomalous,0.3191699981689453,0.0847470760345459,0,0,0,60
Clark,10,84,5,normal,0.31926679611206055,0.07816195487976074,0,58,2,0
Clark,10,84,5,anomalous,0.31926679611206055,0.08622884750366211,2,0,0,58
Clark,10,84,10,normal,0.3128831386566162,0.07767009735107422,0,56,4,0
Clark,10,84,10,anomalous,0.3128831386566162,0.08445096015930176,7,0,0,53
Clark,10,84,15,normal,0.3147139549255371,0.07752490043640137,0,51,9,0
Clark,10,84,15,anomalous,0.3147139549255371,0.08397889137268066,21,0,0,39
Clark,20,84,1,normal,0.4037210941314697,0.10119080543518066,0,59,1,0
Clark,20,84,1,anomalous,0.4037210941314697,0.10518598556518555,4,0,0,56
Clark,20,84,2.5,normal,0.40683603286743164,0.10096001625061035,0,58,2,0
Clark,20,84,2.5,anomalous,0.40683603286743164,0.10526895523071289,8,0,0,52
Clark,20,84,5,normal,0.40302586555480957,0.10062122344970703,0,54,6,0
Clark,20,84,5,anomalous,0.40302586555480957,0.10530424118041992,18,0,0,42
Clark,20,84,10,normal,0.4068329334259033,0.10039281845092773,0,52,8,0
Clark,20,84,10,anomalous,0.4068329334259033,0.10580778121948242,29,0,0,31
Clark,20,84,15,normal,0.4040813446044922,0.10215997695922852,0,48,12,0
Clark,20,84,15,anomalous,0.4040813446044922,0.10538196563720703,41,0,0,19
Clark,30,84,1,normal,0.49917125701904297,0.12310314178466797,0,60,0,0
Clark,30,84,1,anomalous,0.49917125701904297,0.12838125228881836,8,0,0,52
Clark,30,84,2.5,normal,0.5023419857025146,0.12235403060913086,0,58,2,0
Clark,30,84,2.5,anomalous,0.5023419857025146,0.13129591941833496,16,0,0,44
Clark,30,84,5,normal,0.5013542175292969,0.12232708930969238,0,57,3,0
Clark,30,84,5,anomalous,0.5013542175292969,0.1286787986755371,27,0,0,33
Clark,30,84,10,normal,0.5050709247589111,0.12373781204223633,0,51,9,0
Clark,30,84,10,anomalous,0.5050709247589111,0.13164496421813965,40,0,0,20
Clark,30,84,15,normal,0.4997587203979492,0.1231389045715332,0,44,16,0
Clark,30,84,15,anomalous,0.4997587203979492,0.12852191925048828,49,0,0,11
Clark,40,84,1,normal,0.603032112121582,0.1484079360961914,0,60,0,0
Clark,40,84,1,anomalous,0.603032112121582,0.1530611515045166,11,0,0,49
Clark,40,84,2.5,normal,0.6042609214782715,0.14785003662109375,0,59,1,0
Clark,40,84,2.5,anomalous,0.6042609214782715,0.15397381782531738,22,0,0,38
Clark,40,84,5,normal,0.5975890159606934,0.14742279052734375,0,53,7,0
Clark,40,84,5,anomalous,0.5975890159606934,0.15250301361083984,32,0,0,28
Clark,40,84,10,normal,0.6011440753936768,0.14669489860534668,0,49,11,0
Clark,40,84,10,anomalous,0.6011440753936768,0.15319085121154785,46,0,0,14
Clark,40,84,15,normal,0.606003999710083,0.14765477180480957,0,43,17,0
Clark,40,84,15,anomalous,0.606003999710083,0.15438103675842285,48,0,0,12
Clark,50,84,1,normal,0.7027671337127686,0.17171883583068848,0,57,3,0
Clark,50,84,1,anomalous,0.7027671337127686,0.17985105514526367,13,0,0,47
Clark,50,84,2.5,normal,0.701758861541748,0.17157506942749023,0,57,3,0
Clark,50,84,2.5,anomalous,0.701758861541748,0.1787281036376953,15,0,0,45
Clark,50,84,5,normal,0.6990900039672852,0.1735520362854004,0,57,3,0
Clark,50,84,5,anomalous,0.6990900039672852,0.1795191764831543,19,0,0,41
Clark,50,84,10,normal,0.7053439617156982,0.1713862419128418,0,50,10,0
Clark,50,84,10,anomalous,0.7053439617156982,0.18605709075927734,34,0,0,26
Clark,50,84,15,normal,0.7437179088592529,0.1713390350341797,0,45,15,0
Clark,50,84,15,anomalous,0.7437179088592529,0.17848825454711914,43,0,0,17
Clark,10,168,1,normal,0.17370104789733887,0.043470144271850586,0,29,1,0
Clark,10,168,1,anomalous,0.17370104789733887,0.04505515098571777,10,0,0,20
Clark,10,168,2.5,normal,0.17701101303100586,0.043433189392089844,0,29,1,0
Clark,10,168,2.5,anomalous,0.17701101303100586,0.04692578315734863,13,0,0,17
Clark,10,168,5,normal,0.1735973358154297,0.04331493377685547,0,29,1,0
Clark,10,168,5,anomalous,0.1735973358154297,0.04564404487609863,13,0,0,17
Clark,10,168,10,normal,0.17757797241210938,0.04395604133605957,0,28,2,0
Clark,10,168,10,anomalous,0.17757797241210938,0.04557323455810547,16,0,0,14
Clark,10,168,15,normal,0.17496442794799805,0.043299198150634766,0,25,5,0
Clark,10,168,15,anomalous,0.17496442794799805,0.04797792434692383,24,0,0,6
Clark,20,168,1,normal,0.21867084503173828,0.05527997016906738,0,30,0,0
Clark,20,168,1,anomalous,0.21867084503173828,0.059348106384277344,5,0,0,25
Clark,20,168,2.5,normal,0.22415804862976074,0.05584907531738281,0,29,1,0
Clark,20,168,2.5,anomalous,0.22415804862976074,0.060282230377197266,16,0,0,14
Clark,20,168,5,normal,0.22298288345336914,0.05755186080932617,0,28,2,0
Clark,20,168,5,anomalous,0.22298288345336914,0.06057596206665039,21,0,0,9
Clark,20,168,10,normal,0.22453713417053223,0.057074785232543945,0,28,2,0
Clark,20,168,10,anomalous,0.22453713417053223,0.06089186668395996,23,0,0,7
Clark,20,168,15,normal,0.22669696807861328,0.055245161056518555,0,28,2,0
Clark,20,168,15,anomalous,0.22669696807861328,0.05991721153259277,24,0,0,6
Clark,30,168,1,normal,0.27442002296447754,0.06838107109069824,0,30,0,0
Clark,30,168,1,anomalous,0.27442002296447754,0.07223200798034668,23,0,0,7
Clark,30,168,2.5,normal,0.27474093437194824,0.06857919692993164,0,30,0,0
Clark,30,168,2.5,anomalous,0.27474093437194824,0.07440519332885742,29,0,0,1
Clark,30,168,5,normal,0.2754552364349365,0.06981682777404785,0,30,0,0
Clark,30,168,5,anomalous,0.2754552364349365,0.07285594940185547,30,0,0,0
Clark,30,168,10,normal,0.2711303234100342,0.06826496124267578,0,29,1,0
Clark,30,168,10,anomalous,0.2711303234100342,0.07366204261779785,30,0,0,0
Clark,30,168,15,normal,0.2727060317993164,0.0683431625366211,0,25,5,0
Clark,30,168,15,anomalous,0.2727060317993164,0.0724022388458252,30,0,0,0
Clark,40,168,1,normal,0.32522106170654297,0.08206605911254883,0,30,0,0
Clark,40,168,1,anomalous,0.32522106170654297,0.08634591102600098,22,0,0,8
Clark,40,168,2.5,normal,0.3267960548400879,0.08131003379821777,0,29,1,0
