detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,30,24,3,normal,1.69244384765625,0.4254419803619385,0,205,5,0
Hamming,30,24,3,anomalous,1.69244384765625,0.42241406440734863,5,0,0,205
Hamming,30,24,4,normal,1.7043547630310059,0.4130890369415283,0,190,20,0
Hamming,30,24,4,anomalous,1.7043547630310059,0.4319119453430176,15,0,0,195
Hamming,30,24,5,normal,1.7002439498901367,0.4165632724761963,0,190,20,0
Hamming,30,24,5,anomalous,1.7002439498901367,0.42628979682922363,15,0,0,195
Hamming,30,24,6,normal,1.7033979892730713,0.42133092880249023,0,190,20,0
Hamming,30,24,6,anomalous,1.7033979892730713,0.42954087257385254,15,0,0,195
Hamming,30,24,7,normal,1.7352688312530518,0.4145169258117676,0,190,20,0
Hamming,30,24,7,anomalous,1.7352688312530518,0.4329657554626465,15,0,0,195
Hamming,30,24,8,normal,1.7075040340423584,0.4238169193267822,0,190,20,0
Hamming,30,24,8,anomalous,1.7075040340423584,0.43411779403686523,15,0,0,195
Hamming,30,24,9,normal,1.7031619548797607,0.4139130115509033,0,190,20,0
Hamming,30,24,9,anomalous,1.7031619548797607,0.43056392669677734,15,0,0,195
Hamming,30,24,10,normal,1.6921069622039795,0.4285571575164795,0,190,20,0
Hamming,30,24,10,anomalous,1.6921069622039795,0.4250681400299072,15,0,0,195
Hamming,35,24,1,normal,1.8795700073242188,0.46475791931152344,0,209,1,0
Hamming,35,24,1,anomalous,1.8795700073242188,0.46746301651000977,2,0,0,208
Hamming,35,24,2,normal,1.8749589920043945,0.460003137588501,0,203,7,0
Hamming,35,24,2,anomalous,1.8749589920043945,0.4834139347076416,4,0,0,206
Hamming,35,24,3,normal,1.8770806789398193,0.4583730697631836,0,203,7,0
Hamming,35,24,3,anomalous,1.8770806789398193,0.5053322315216064,4,0,0,206
Hamming,35,24,4,normal,1.907951831817627,0.4715561866760254,0,203,7,0
Hamming,35,24,4,anomalous,1.907951831817627,0.6088392734527588,4,0,0,206
Hamming,35,24,5,normal,1.9264252185821533,0.4688608646392822,0,203,7,0
Hamming,35,24,5,anomalous,1.9264252185821533,0.48482298851013184,4,0,0,206
Hamming,35,24,6,normal,1.9066510200500488,0.46950292587280273,0,203,7,0
Hamming,35,24,6,anomalous,1.9066510200500488,0.4695470333099365,4,0,0,206
Hamming,35,24,7,normal,1.874734878540039,0.4645991325378418,0,203,7,0
Hamming,35,24,7,anomalous,1.874734878540039,0.46862196922302246,4,0,0,206
Hamming,35,24,8,normal,1.881338119506836,0.46464109420776367,0,203,7,0
Hamming,35,24,8,anomalous,1.881338119506836,0.47130489349365234,4,0,0,206
Hamming,35,24,9,normal,1.8817059993743896,0.4589660167694092,0,188,22,0
Hamming,35,24,9,anomalous,1.8817059993743896,0.47746706008911133,13,0,0,197
Hamming,35,24,10,normal,1.871777057647705,0.45738816261291504,0,188,22,0
Hamming,35,24,10,anomalous,1.871777057647705,0.4746849536895752,13,0,0,197
Hamming,40,24,1,normal,2.0464417934417725,0.5003559589385986,0,208,2,0
Hamming,40,24,1,anomalous,2.0464417934417725,0.516240119934082,1,0,0,209
Hamming,40,24,2,normal,2.0586860179901123,0.49861812591552734,0,202,8,0
Hamming,40,24,2,anomalous,2.0586860179901123,0.5179183483123779,5,0,0,205
Hamming,40,24,3,normal,2.0458481311798096,0.5028090476989746,0,202,8,0
Hamming,40,24,3,anomalous,2.0458481311798096,0.518639087677002,5,0,0,205
Hamming,40,24,4,normal,2.083310842514038,0.5014231204986572,0,202,8,0
Hamming,40,24,4,anomalous,2.083310842514038,0.5190949440002441,5,0,0,205
Hamming,40,24,5,normal,2.053215980529785,0.5066089630126953,0,187,23,0
Hamming,40,24,5,anomalous,2.053215980529785,0.5112228393554688,19,0,0,191
Hamming,40,24,6,normal,2.058004140853882,0.50907301902771,0,187,23,0
Hamming,40,24,6,anomalous,2.058004140853882,0.5143470764160156,19,0,0,191
Hamming,40,24,7,normal,2.0522069931030273,0.5079429149627686,0,187,23,0
Hamming,40,24,7,anomalous,2.0522069931030273,0.5163419246673584,19,0,0,191
Hamming,40,24,8,normal,2.0512449741363525,0.509894847869873,0,187,23,0
Hamming,40,24,8,anomalous,2.0512449741363525,0.5107803344726562,19,0,0,191
Hamming,40,24,9,normal,2.0490057468414307,0.5089528560638428,0,187,23,0
Hamming,40,24,9,anomalous,2.0490057468414307,0.5097289085388184,19,0,0,191
Hamming,40,24,10,normal,2.0502660274505615,0.5126848220825195,0,187,23,0
Hamming,40,24,10,anomalous,2.0502660274505615,0.5273261070251465,19,0,0,191
Hamming,45,24,1,normal,2.235114097595215,0.5408937931060791,0,202,8,0
Hamming,45,24,1,anomalous,2.235114097595215,0.5631601810455322,2,0,0,208
Hamming,45,24,2,normal,2.2220709323883057,0.5503661632537842,0,202,8,0
Hamming,45,24,2,anomalous,2.2220709323883057,0.5575289726257324,2,0,0,208
Hamming,45,24,3,normal,2.229053020477295,0.5534648895263672,0,196,14,0
Hamming,45,24,3,anomalous,2.229053020477295,0.5584621429443359,8,0,0,202
Hamming,45,24,4,normal,2.2370028495788574,0.5564301013946533,0,196,14,0
Hamming,45,24,4,anomalous,2.2370028495788574,0.559506893157959,8,0,0,202
Hamming,45,24,5,normal,2.230015993118286,0.548255205154419,0,196,14,0
Hamming,45,24,5,anomalous,2.230015993118286,0.5549407005310059,8,0,0,202
Hamming,45,24,6,normal,2.223252058029175,0.5535690784454346,0,196,14,0
Hamming,45,24,6,anomalous,2.223252058029175,0.5546088218688965,8,0,0,202
Hamming,45,24,7,normal,2.4485509395599365,0.5578510761260986,0,196,14,0
Hamming,45,24,7,anomalous,2.4485509395599365,0.5865750312805176,8,0,0,202
Hamming,45,24,8,normal,2.274275064468384,0.5583188533782959,0,190,20,0
Hamming,45,24,8,anomalous,2.274275064468384,0.5584049224853516,24,0,0,186
Hamming,45,24,9,normal,2.232983112335205,0.543856143951416,0,190,20,0
Hamming,45,24,9,anomalous,2.232983112335205,0.5629549026489258,24,0,0,186
Hamming,45,24,10,normal,2.2325499057769775,0.5484578609466553,0,190,20,0
Hamming,45,24,10,anomalous,2.2325499057769775,0.5558979511260986,24,0,0,186
Hamming,50,24,1,normal,2.403508186340332,0.5940349102020264,0,202,8,0
Hamming,50,24,1,anomalous,2.403508186340332,0.6073870658874512,4,0,0,206
Hamming,50,24,2,normal,2.40777587890625,0.5975680351257324,0,202,8,0
Hamming,50,24,2,anomalous,2.40777587890625,0.6021029949188232,4,0,0,206
Hamming,50,24,3,normal,2.411619186401367,0.5885093212127686,0,202,8,0
Hamming,50,24,3,anomalous,2.411619186401367,0.6069300174713135,4,0,0,206
Hamming,50,24,4,normal,2.40248703956604,0.5994298458099365,0,197,13,0
Hamming,50,24,4,anomalous,2.40248703956604,0.6042170524597168,13,0,0,197
Hamming,50,24,5,normal,2.408463716506958,0.592432975769043,0,197,13,0
Hamming,50,24,5,anomalous,2.408463716506958,0.6008861064910889,13,0,0,197
Hamming,50,24,6,normal,2.4096529483795166,0.5894858837127686,0,197,13,0
Hamming,50,24,6,anomalous,2.4096529483795166,0.6030552387237549,13,0,0,197
Hamming,50,24,7,normal,2.403856039047241,0.598980188369751,0,197,13,0
Hamming,50,24,7,anomalous,2.403856039047241,0.5989172458648682,13,0,0,197
Hamming,50,24,8,normal,2.424560070037842,0.5938310623168945,0,197,13,0
Hamming,50,24,8,anomalous,2.424560070037842,0.6147022247314453,13,0,0,197
Hamming,50,24,9,normal,2.4074299335479736,0.6024858951568604,0,178,32,0
Hamming,50,24,9,anomalous,2.4074299335479736,0.6067180633544922,28,0,0,182
Hamming,50,24,10,normal,2.4240829944610596,0.5970230102539062,0,178,32,0
Hamming,50,24,10,anomalous,2.4240829944610596,0.6033709049224854,28,0,0,182
Hamming,5,48,1,normal,0.46243786811828613,0.11093020439147949,0,105,0,0
Hamming,5,48,1,anomalous,0.46243786811828613,0.12108063697814941,0,0,0,105
Hamming,5,48,2,normal,0.45026087760925293,0.11088681221008301,0,105,0,0
Hamming,5,48,2,anomalous,0.45026087760925293,0.12369203567504883,0,0,0,105
Hamming,5,48,3,normal,0.4493238925933838,0.11097383499145508,0,105,0,0
Hamming,5,48,3,anomalous,0.4493238925933838,0.11773824691772461,0,0,0,105
Hamming,5,48,4,normal,0.45862603187561035,0.11202883720397949,0,105,0,0
Hamming,5,48,4,anomalous,0.45862603187561035,0.11658287048339844,0,0,0,105
Hamming,5,48,5,normal,0.45421481132507324,0.11751317977905273,0,105,0,0
Hamming,5,48,5,anomalous,0.45421481132507324,0.11616778373718262,0,0,0,105
Hamming,5,48,6,normal,0.44815897941589355,0.11042404174804688,0,105,0,0
Hamming,5,48,6,anomalous,0.44815897941589355,0.11738324165344238,0,0,0,105
Hamming,5,48,7,normal,0.46026086807250977,0.10993814468383789,0,98,7,0
Hamming,5,48,7,anomalous,0.46026086807250977,0.11722183227539062,7,0,0,98
Hamming,5,48,8,normal,0.4532740116119385,0.11372685432434082,0,98,7,0
Hamming,5,48,8,anomalous,0.4532740116119385,0.1158139705657959,24,0,0,81
Hamming,5,48,9,normal,0.4527721405029297,0.10997676849365234,0,98,7,0
Hamming,5,48,9,anomalous,0.4527721405029297,0.1175222396850586,24,0,0,81
Hamming,5,48,10,normal,0.45619988441467285,0.11027193069458008,0,98,7,0
Hamming,5,48,10,anomalous,0.45619988441467285,0.11690187454223633,24,0,0,81
Hamming,10,48,1,normal,0.5282890796661377,0.12871193885803223,0,104,1,0
Hamming,10,48,1,anomalous,0.5282890796661377,0.13620686531066895,1,0,0,104
Hamming,10,48,2,normal,0.5232970714569092,0.13661479949951172,0,104,1,0
Hamming,10,48,2,anomalous,0.5232970714569092,0.13446497917175293,1,0,0,104
Hamming,10,48,3,normal,0.5224449634552002,0.12805485725402832,0,104,1,0
Hamming,10,48,3,anomalous,0.5224449634552002,0.14364075660705566,1,0,0,104
Hamming,10,48,4,normal,0.5228841304779053,0.12864899635314941,0,104,1,0
Hamming,10,48,4,anomalous,0.5228841304779053,0.13492584228515625,1,0,0,104
Hamming,10,48,5,normal,0.5318019390106201,0.12871599197387695,0,104,1,0
Hamming,10,48,5,anomalous,0.5318019390106201,0.13606691360473633,1,0,0,104
Hamming,10,48,6,normal,0.5293450355529785,0.12924695014953613,0,104,1,0
Hamming,10,48,6,anomalous,0.5293450355529785,0.1340928077697754,1,0,0,104
Hamming,10,48,7,normal,0.5208981037139893,0.13614106178283691,0,104,1,0
Hamming,10,48,7,anomalous,0.5208981037139893,0.13566327095031738,1,0,0,104
Hamming,10,48,8,normal,0.5230388641357422,0.12864208221435547,0,98,7,0
Hamming,10,48,8,anomalous,0.5230388641357422,0.14122486114501953,30,0,0,75
Hamming,10,48,9,normal,0.5264770984649658,0.1273500919342041,0,98,7,0
Hamming,10,48,9,anomalous,0.5264770984649658,0.13619256019592285,30,0,0,75
Hamming,10,48,10,normal,0.5314538478851318,0.12792110443115234,0,98,7,0
Hamming,10,48,10,anomalous,0.5314538478851318,0.13372397422790527,30,0,0,75
Hamming,15,48,1,normal,0.6047883033752441,0.14618229866027832,0,104,1,0
Hamming,15,48,1,anomalous,0.6047883033752441,0.15436387062072754,3,0,0,102
Hamming,15,48,2,normal,0.6033718585968018,0.14634394645690918,0,104,1,0
Hamming,15,48,2,anomalous,0.6033718585968018,0.15265512466430664,3,0,0,102
Hamming,15,48,3,normal,0.6042799949645996,0.14815211296081543,0,102,3,0
Hamming,15,48,3,anomalous,0.6042799949645996,0.15232419967651367,10,0,0,95
Hamming,15,48,4,normal,0.5951039791107178,0.15780901908874512,0,102,3,0
Hamming,15,48,4,anomalous,0.5951039791107178,0.15451908111572266,10,0,0,95
Hamming,15,48,5,normal,0.5949571132659912,0.15832781791687012,0,102,3,0
Hamming,15,48,5,anomalous,0.5949571132659912,0.15487885475158691,10,0,0,95
Hamming,15,48,6,normal,0.5956861972808838,0.14783692359924316,0,97,8,0
Hamming,15,48,6,anomalous,0.5956861972808838,0.16269898414611816,27,0,0,78
Hamming,15,48,7,normal,0.6116909980773926,0.15530610084533691,0,97,8,0
Hamming,15,48,7,anomalous,0.6116909980773926,0.23200511932373047,27,0,0,78
Hamming,15,48,8,normal,0.7441940307617188,0.1534290313720703,0,97,8,0
Hamming,15,48,8,anomalous,0.7441940307617188,0.161057710647583,27,0,0,78
Hamming,15,48,9,normal,0.613638162612915,0.15212416648864746,0,97,8,0
Hamming,15,48,9,anomalous,0.613638162612915,0.16837596893310547,27,0,0,78
Hamming,15,48,10,normal,0.6237850189208984,0.1487102508544922,0,97,8,0
Hamming,15,48,10,anomalous,0.6237850189208984,0.1631488800048828,27,0,0,78
Hamming,20,48,1,normal,0.6873588562011719,0.16895008087158203,0,104,1,0
Hamming,20,48,1,anomalous,0.6873588562011719,0.18865394592285156,2,0,0,103
Hamming,20,48,2,normal,0.6893320083618164,0.1664590835571289,0,104,1,0
Hamming,20,48,2,anomalous,0.6893320083618164,0.18053936958312988,7,0,0,98
Hamming,20,48,3,normal,0.6807830333709717,0.1727149486541748,0,104,1,0
Hamming,20,48,3,anomalous,0.6807830333709717,0.17411494255065918,7,0,0,98
Hamming,20,48,4,normal,0.6752440929412842,0.17307591438293457,0,100,5,0
Hamming,20,48,4,anomalous,0.6752440929412842,0.1745011806488037,20,0,0,85
Hamming,20,48,5,normal,0.6763811111450195,0.17394614219665527,0,100,5,0
Hamming,20,48,5,anomalous,0.6763811111450195,0.17604994773864746,20,0,0,85
Hamming,20,48,6,normal,0.6770460605621338,0.17498111724853516,0,100,5,0
Hamming,20,48,6,anomalous,0.6770460605621338,0.17433619499206543,20,0,0,85
Hamming,20,48,7,normal,0.6816709041595459,0.17525291442871094,0,92,13,0
Hamming,20,48,7,anomalous,0.6816709041595459,0.1793379783630371,32,0,0,73
Hamming,20,48,8,normal,0.6852571964263916,0.17078304290771484,0,92,13,0
Hamming,20,48,8,anomalous,0.6852571964263916,0.17367219924926758,32,0,0,73
Hamming,20,48,9,normal,0.6894488334655762,0.16780591011047363,0,92,13,0
Hamming,20,48,9,anomalous,0.6894488334655762,0.17368221282958984,32,0,0,73
Hamming,20,48,10,normal,0.687039852142334,0.16652989387512207,0,92,13,0
Hamming,20,48,10,anomalous,0.687039852142334,0.1726818084716797,32,0,0,73
Hamming,25,48,1,normal,0.7681920528411865,0.18725037574768066,0,105,0,0
Hamming,25,48,1,anomalous,0.7681920528411865,0.19600391387939453,0,0,0,105
Hamming,25,48,2,normal,0.766887903213501,0.18668317794799805,0,105,0,0
Hamming,25,48,2,anomalous,0.766887903213501,0.19657182693481445,0,0,0,105
Hamming,25,48,3,normal,0.7668509483337402,0.18588805198669434,0,104,1,0
Hamming,25,48,3,anomalous,0.7668509483337402,0.19818806648254395,4,0,0,101
Hamming,25,48,4,normal,0.7665190696716309,0.18746113777160645,0,103,2,0
Hamming,25,48,4,anomalous,0.7665190696716309,0.20364999771118164,9,0,0,96
Hamming,25,48,5,normal,0.7615392208099365,0.1959517002105713,0,103,2,0
Hamming,25,48,5,anomalous,0.7615392208099365,0.1971890926361084,9,0,0,96
Hamming,25,48,6,normal,0.7653710842132568,0.18862485885620117,0,99,6,0
Hamming,25,48,6,anomalous,0.7653710842132568,0.19591999053955078,22,0,0,83
Hamming,25,48,7,normal,0.7683267593383789,0.18678498268127441,0,99,6,0
Hamming,25,48,7,anomalous,0.7683267593383789,0.19720911979675293,22,0,0,83
Hamming,25,48,8,normal,0.7716341018676758,0.1860647201538086,0,99,6,0
Hamming,25,48,8,anomalous,0.7716341018676758,0.1931018829345703,22,0,0,83
Hamming,25,48,9,normal,0.7777400016784668,0.18555188179016113,0,99,6,0
Hamming,25,48,9,anomalous,0.7777400016784668,0.19572019577026367,22,0,0,83
Hamming,25,48,10,normal,0.7679150104522705,0.18903517723083496,0,99,6,0
Hamming,25,48,10,anomalous,0.7679150104522705,0.2017519474029541,22,0,0,83
Hamming,30,48,1,normal,0.8442299365997314,0.21438169479370117,0,104,1,0
Hamming,30,48,1,anomalous,0.8442299365997314,0.21638107299804688,0,0,0,105
Hamming,30,48,2,normal,0.8491950035095215,0.206679105758667,0,103,2,0
Hamming,30,48,2,anomalous,0.8491950035095215,0.21410894393920898,3,0,0,102
Hamming,30,48,3,normal,0.8612520694732666,0.20957732200622559,0,101,4,0
Hamming,30,48,3,anomalous,0.8612520694732666,0.21344280242919922,7,0,0,98
Hamming,30,48,4,normal,0.852776050567627,0.21022391319274902,0,101,4,0
Hamming,30,48,4,anomalous,0.852776050567627,0.22117400169372559,7,0,0,98
Hamming,30,48,5,normal,0.8488361835479736,0.20875310897827148,0,97,8,0
Hamming,30,48,5,anomalous,0.8488361835479736,0.21856999397277832,21,0,0,84
Hamming,30,48,6,normal,0.8501920700073242,0.2064800262451172,0,97,8,0
Hamming,30,48,6,anomalous,0.8501920700073242,0.21894502639770508,21,0,0,84
Hamming,30,48,7,normal,0.8483719825744629,0.20731806755065918,0,97,8,0
Hamming,30,48,7,anomalous,0.8483719825744629,0.22187423706054688,21,0,0,84
Hamming,30,48,8,normal,0.8442308902740479,0.21534991264343262,0,93,12,0
Hamming,30,48,8,anomalous,0.8442308902740479,0.2126929759979248,35,0,0,70
Hamming,30,48,9,normal,0.848254919052124,0.2086319923400879,0,93,12,0
Hamming,30,48,9,anomalous,0.848254919052124,0.21526312828063965,35,0,0,70
Hamming,30,48,10,normal,0.8501980304718018,0.20696806907653809,0,93,12,0
Hamming,30,48,10,anomalous,0.8501980304718018,0.21737909317016602,35,0,0,70
Hamming,35,48,1,normal,0.9338717460632324,0.24083781242370605,0,105,0,0
Hamming,35,48,1,anomalous,0.9338717460632324,0.2364039421081543,0,0,0,105
Hamming,35,48,2,normal,0.9338119029998779,0.23137688636779785,0,103,2,0
Hamming,35,48,2,anomalous,0.9338119029998779,0.23566484451293945,10,0,0,95
Hamming,35,48,3,normal,0.9405930042266846,0.22995400428771973,0,103,2,0
Hamming,35,48,3,anomalous,0.9405930042266846,0.24460697174072266,10,0,0,95
Hamming,35,48,4,normal,0.9361443519592285,0.22934508323669434,0,103,2,0
Hamming,35,48,4,anomalous,0.9361443519592285,0.23598790168762207,10,0,0,95
Hamming,35,48,5,normal,0.936455249786377,0.22959208488464355,0,99,6,0
Hamming,35,48,5,anomalous,0.936455249786377,0.23510122299194336,19,0,0,86
Hamming,35,48,6,normal,0.9346911907196045,0.23680591583251953,0,99,6,0
Hamming,35,48,6,anomalous,0.9346911907196045,0.23833680152893066,19,0,0,86
Hamming,35,48,7,normal,0.9377851486206055,0.23258709907531738,0,95,10,0
Hamming,35,48,7,anomalous,0.9377851486206055,0.23442816734313965,26,0,0,79
Hamming,35,48,8,normal,0.934779167175293,0.2337338924407959,0,95,10,0
Hamming,35,48,8,anomalous,0.934779167175293,0.24492430686950684,26,0,0,79
Hamming,35,48,9,normal,0.9365229606628418,0.25156712532043457,0,95,10,0
Hamming,35,48,9,anomalous,0.9365229606628418,0.23844408988952637,26,0,0,79
Hamming,35,48,10,normal,0.95271897315979,0.22896623611450195,0,95,10,0
