DT,Usage
11325,0.54
11326,0.53
11327,0.23
11328,0.07
11329,0.09
11330,0.02
11331,0.01
11332,0.01
11333,0.01
11334,0.0
11335,0.0
11336,0.0
11337,0.0
11338,0.0
11339,0.0
11340,0.0
11341,0.0
11342,0.0
11343,0.0
11344,0.0
11345,0.0
11346,0.0
11347,0.0
11348,0.0
11401,0.0
11402,0.0
11403,0.0
11404,0.0
11405,0.0
11406,0.0
11407,0.0
11408,0.0
11409,0.0
11410,0.0
11411,0.0
11412,0.0
11413,0.0
11414,0.0
11415,0.01
11416,0.03
11417,0.17
11418,0.27
11419,0.31
11420,0.41
11421,0.46
11422,0.49
11423,0.52
11424,0.54
11425,0.54
11426,0.48
11427,0.28
11428,0.11
11429,0.07
11430,0.04
11431,0.05
11432,0.03
11433,0.02
11434,0.0
11435,0.0
11436,0.0
11437,0.0
11438,0.0
11439,0.0
11440,0.0
11441,0.0
11442,0.0
11443,0.0
11444,0.0
11445,0.0
11446,0.0
11447,0.0
11448,0.0
11501,0.0
11502,0.0
11503,0.0
11504,0.01
11505,0.0
11506,0.0
11507,0.0
11508,0.0
11509,0.0
11510,0.0
11511,0.0
11512,0.0
11513,0.0
11514,0.0
11515,0.0
11516,0.03
11517,0.17
11518,0.26
11519,0.34
11520,0.42
11521,0.42
11522,0.51
11523,0.49
11524,0.52
11525,0.53
11526,0.47
11527,0.34
11528,0.09
11529,0.06
11530,0.03
11531,0.02
11532,0.02
11533,0.01
11534,0.0
11535,0.0
11536,0.0
11537,0.0
11538,0.0
11539,0.0
11540,0.0
11541,0.0
11542,0.0
11543,0.0
11544,0.0
11545,0.0
11546,0.0
11547,0.0
11548,0.0
11601,0.0
11602,0.0
11603,0.0
11604,0.0
11605,0.0
11606,0.0
11607,0.01
11608,0.0
11609,0.0
11610,0.0
11611,0.0
11612,0.0
11613,0.0
11614,0.0
11615,0.0
11616,0.03
11617,0.17
11618,0.26
11619,0.34
11620,0.4
11621,0.44
11622,0.47
11623,0.5
11624,0.51
11625,0.52
11626,0.51
11627,0.42
11628,0.26
11629,0.04
11630,0.03
11631,0.02
11632,0.02
11633,0.01
11634,0.0
11635,0.0
11636,0.0
11637,0.0
11638,0.0
11639,0.0
11640,0.0
11641,0.0
11642,0.0
11643,0.0
11644,0.0
11645,0.0
11646,0.0
11647,0.01
11648,0.0
11701,0.0
11702,0.0
11703,0.0
11704,0.0
11705,0.0
11706,0.0
11707,0.0
11708,0.0
11709,0.0
11710,0.0
11711,0.0
11712,0.0
11713,0.0
11714,0.0
11715,0.0
11716,0.03
11717,0.19
11718,0.28
11719,0.34
11720,0.41
11721,0.46
11722,0.49
11723,0.51
11724,0.53
11725,0.52
11726,0.52
11727,0.46
11728,0.28
11729,0.13
11730,0.02
11731,0.02
11732,0.01
11733,0.01
11734,0.01
11735,0.0
11736,0.0
11737,0.0
11738,0.0
11739,0.0
11740,0.0
11741,0.0
11742,0.0
11743,0.0
11744,0.0
11745,0.0
11746,0.0
11747,0.0
11748,0.0
11801,0.0
11802,0.0
11803,0.0
11804,0.0
11805,0.0
11806,0.0
11807,0.0
11808,0.0
11809,0.0
11810,0.0
11811,0.0
11812,0.0
11813,0.0
11814,0.0
11815,0.01
11816,0.06
11817,0.16
11818,0.14
11819,0.28
11820,0.21
11821,0.18
11822,0.14
11823,0.24
11824,0.41
11825,0.31
11826,0.32
11827,0.11
11828,0.12
11829,0.1
11830,0.09
11831,0.06
11832,0.02
11833,0.04
11834,0.0
11835,0.0
11836,0.0
11837,0.0
11838,0.0
11839,0.0
11840,0.0
11841,0.0
11842,0.0
11843,0.0
11844,0.0
11845,0.0
11846,0.0
11847,0.0
11848,0.0
11901,0.0
11902,0.0
11903,0.0
11904,0.0
11905,0.0
11906,0.01
11907,0.0
11908,0.0
11909,0.0
11910,0.0
11911,0.0
11912,0.0
11913,0.0
11914,0.0
11915,0.01
11916,0.03
11917,0.14
11918,0.15
11919,0.34
11920,0.41
11921,0.45
11922,0.49
11923,0.51
11924,0.49
11925,0.52
11926,0.53
11927,0.2
11928,0.14
11929,0.13
11930,0.12
11931,0.11
11932,0.07
11933,0.05
11934,0.01
11935,0.0
11936,0.0
11937,0.0
11938,0.0
11939,0.0
11940,0.0
11941,0.0
11942,0.0
11943,0.0
11944,0.0
11945,0.0
11946,0.0
11947,0.0
11948,0.0
12001,0.0
12002,0.0
12003,0.0
12004,0.0
12005,0.0
12006,0.0
12007,0.0
12008,0.0
12009,0.0
12010,0.0
12011,0.0
12012,0.0
12013,0.0
12014,0.0
12015,0.0
12016,0.01
12017,0.04
12018,0.07
12019,0.03
12020,0.07
12021,0.09
12022,0.11
12023,0.07
12024,0.16
12025,0.23
12026,0.16
12027,0.23
12028,0.14
12029,0.16
12030,0.12
12031,0.05
12032,0.03
12033,0.02
12034,0.0
12035,0.0
12036,0.0
12037,0.0
12038,0.0
12039,0.0
12040,0.0
12041,0.0
12042,0.01
12043,0.0
12044,0.0
12045,0.0
12046,0.0
12047,0.0
12048,0.0
12101,0.0
12102,0.0
12103,0.0
12104,0.0
12105,0.0
12106,0.0
12107,0.0
12108,0.0
12109,0.0
12110,0.0
12111,0.0
12112,0.0
12113,0.0
12114,0.0
12115,0.0
12116,0.03
12117,0.17
12118,0.26
12119,0.34
12120,0.41
12121,0.42
12122,0.48
12123,0.16
12124,0.06
12125,0.08
12126,0.11
12127,0.11
12128,0.15
12129,0.14
12130,0.11
12131,0.06
12132,0.06
12133,0.01
12134,0.01
12135,0.0
12136,0.0
12137,0.0
12138,0.0
12139,0.0
12140,0.0
12141,0.0
12142,0.0
12143,0.0
12144,0.0
12145,0.0
12146,0.0
12147,0.0
12148,0.0
12201,0.0
12202,0.0
12203,0.0
12204,0.0
12205,0.0
12206,0.0
12207,0.0
12208,0.0
12209,0.0
12210,0.0
12211,0.0
12212,0.0
12213,0.0
12214,0.0
12215,0.01
12216,0.02
12217,0.19
12218,0.18
12219,0.16
12220,0.33
12221,0.36
12222,0.38
12223,0.36
12224,0.17
12225,0.16
12226,0.36
12227,0.18
12228,0.16
12229,0.09
12230,0.14
12231,0.07
12232,0.05
12233,0.04
12234,0.01
12235,0.0
12236,0.0
12237,0.0
12238,0.0
12239,0.0
12240,0.0
12241,0.0
12242,0.0
12243,0.0
12244,0.0
12245,0.0
12246,0.0
12247,0.0
12248,0.0
12301,0.0
12302,0.0
12303,0.0
12304,0.0
12305,0.0
12306,0.0
12307,0.0
12308,0.0
12309,0.0
12310,0.0
12311,0.0
12312,0.0
12313,0.0
12314,0.0
12315,0.01
12316,0.03
12317,0.04
12318,0.04
12319,0.07
12320,0.09
12321,0.12
12322,0.11
12323,0.15
12324,0.25
12325,0.3
12326,0.3
12327,0.27
12328,0.19
12329,0.17
12330,0.12
12331,0.06
12332,0.04
12333,0.03
12334,0.01
12335,0.0
12336,0.0
12337,0.0
12338,0.0
12339,0.0
12340,0.0
12341,0.0
12342,0.0
12343,0.0
12344,0.0
12345,0.0
12346,0.0
12347,0.0
12348,0.0
12401,0.0
12402,0.0
12403,0.0
12404,0.0
12405,0.0
12406,0.0
12407,0.0
12408,0.0
12409,0.0
12410,0.01
12411,0.0
12412,0.0
12413,0.0
12414,0.0
12415,0.01
12416,0.03
12417,0.19
12418,0.27
12419,0.34
12420,0.39
12421,0.44
12422,0.5
12423,0.34
12424,0.16
12425,0.4
12426,0.24
12427,0.22
12428,0.21
12429,0.07
12430,0.04
12431,0.01
12432,0.01
12433,0.04
12434,0.01
12435,0.0
12436,0.0
12437,0.0
12438,0.0
12439,0.0
12440,0.0
12441,0.0
12442,0.0
12443,0.0
12444,0.0
12445,0.0
12446,0.0
12447,0.0
12448,0.0
12501,0.0
12502,0.0
12503,0.0
12504,0.0
12505,0.0
12506,0.01
12507,0.0
12508,0.0
12509,0.0
12510,0.0
12511,0.0
12512,0.0
12513,0.0
12514,0.0
12515,0.01
12516,0.06
12517,0.17
12518,0.24
12519,0.32
12520,0.39
12521,0.34
12522,0.48
12523,0.51
12524,0.34
12525,0.24
12526,0.24
12527,0.3
12528,0.09
12529,0.09
12530,0.07
12531,0.06
12532,0.03
12533,0.01
12534,0.0
12535,0.0
12536,0.0
12537,0.0
12538,0.0
12539,0.01
12540,0.0
12541,0.0
12542,0.0
12543,0.0
12544,0.0
12545,0.0
12546,0.0
12547,0.0
12548,0.0
12601,0.0
12602,0.0
12603,0.0
12604,0.0
12605,0.0
12606,0.0
12607,0.0
12608,0.0
12609,0.0
12610,0.0
12611,0.0
12612,0.0
12613,0.0
12614,0.0
12615,0.01
12616,0.02
12617,0.05
12618,0.11
12619,0.2
12620,0.29
12621,0.43
12622,0.36
12623,0.21
12624,0.17
12625,0.38
12626,0.25
12627,0.2
12628,0.23
12629,0.13
12630,0.1
12631,0.06
12632,0.07
12633,0.03
12634,0.01
12635,0.0
12636,0.0
12637,0.0
12638,0.0
12639,0.0
12640,0.0
12641,0.0
12642,0.0
12643,0.0
12644,0.0
12645,0.0
12646,0.0
12647,0.0
12648,0.0
12701,0.0
12702,0.0
12703,0.0
12704,0.0
12705,0.0
12706,0.0
12707,0.0
12708,0.0
12709,0.0
12710,0.0
12711,0.0
12712,0.0
12713,0.0
12714,0.0
12715,0.0
12716,0.0
12717,0.01
12718,0.01
12719,0.04
12720,0.04
12721,0.05
12722,0.05
12723,0.05
12724,0.04
12725,0.02
12726,0.04
12727,0.03
12728,0.02
12729,0.03
12730,0.01
12731,0.01
12732,0.01
12733,0.0
12734,0.0
12735,0.01
12736,0.0
12737,0.0
12738,0.0
12739,0.0
12740,0.0
12741,0.0
12742,0.0
12743,0.0
12744,0.0
12745,0.0
12746,0.0
12747,0.0
12748,0.0
12801,0.0
12802,0.0
12803,0.0
12804,0.0
12805,0.0
12806,0.0
12807,0.0
12808,0.0
12809,0.0
12810,0.0
12811,0.0
12812,0.0
12813,0.0
12814,0.0
12815,0.0
12816,0.03
12817,0.07
12818,0.28
12819,0.14
12820,0.19
12821,0.23
12822,0.11
12823,0.03
12824,0.14
12825,0.09
12826,0.09
12827,0.05
12828,0.06
12829,0.04
12830,0.01
12831,0.01
12832,0.04
12833,0.01
12834,0.0
12835,0.0
12836,0.0
12837,0.01
12838,0.0
12839,0.0
12840,0.0
12841,0.0
12842,0.0
12843,0.0
12844,0.0
12845,0.0
12846,0.0
12847,0.0
12848,0.0
12901,0.0
12902,0.0
12903,0.0
12904,0.0
12905,0.0
12906,0.0
12907,0.0
12908,0.0
12909,0.0
12910,0.0
12911,0.0
12912,0.0
12913,0.0
12914,0.0
12915,0.0
12916,0.03
12917,0.16
12918,0.28
12919,0.17
12920,0.15
12921,0.14
12922,0.09
12923,0.02
12924,0.19
12925,0.23
12926,0.12
