DT,Usage
46801,0.0
46802,0.0
46803,0.0
46804,0.0
46805,0.0
46806,0.0
46807,0.0
46808,0.0
46809,0.0
46810,0.0
46811,0.0
46812,0.0
46813,0.0
46814,0.0
46815,0.0
46816,0.04
46817,0.15
46818,0.18
46819,0.25
46820,0.11
46821,0.38
46822,0.4
46823,0.24
46824,0.01
46825,0.06
46826,0.07
46827,0.03
46828,0.06
46829,0.01
46830,0.02
46831,0.02
46832,0.01
46833,0.01
46834,0.0
46835,0.0
46836,0.0
46837,0.0
46838,0.0
46839,0.01
46840,0.0
46841,0.0
46842,0.0
46843,0.0
46844,0.0
46845,0.0
46846,0.0
46847,0.0
46848,0.0
46901,0.0
46902,0.0
46903,0.0
46904,0.0
46905,0.0
46906,0.0
46907,0.0
46908,0.0
46909,0.0
46910,0.0
46911,0.0
46912,0.0
46913,0.0
46914,0.0
46915,0.0
46916,0.06
46917,0.17
46918,0.25
46919,0.22
46920,0.34
46921,0.46
46922,0.49
46923,0.51
46924,0.35
46925,0.2
46926,0.09
46927,0.06
46928,0.04
46929,0.03
46930,0.03
46931,0.02
46932,0.01
46933,0.01
46934,0.0
46935,0.0
46936,0.0
46937,0.0
46938,0.0
46939,0.0
46940,0.0
46941,0.0
46942,0.0
46943,0.0
46944,0.0
46945,0.0
46946,0.0
46947,0.0
46948,0.0
47001,0.0
47002,0.0
47003,0.0
47004,0.01
47005,0.0
47006,0.0
47007,0.0
47008,0.0
47009,0.0
47010,0.0
47011,0.0
47012,0.0
47013,0.0
47014,0.0
47015,0.0
47016,0.06
47017,0.17
47018,0.26
47019,0.34
47020,0.4
47021,0.44
47022,0.28
47023,0.24
47024,0.47
47025,0.49
47026,0.24
47027,0.04
47028,0.02
47029,0.0
47030,0.0
47031,0.0
47032,0.01
47033,0.01
47034,0.0
47035,0.0
47036,0.0
47037,0.0
47038,0.0
47039,0.01
47040,0.0
47041,0.0
47042,0.0
47043,0.0
47044,0.0
47045,0.0
47046,0.0
47047,0.0
47048,0.0
47101,0.0
47102,0.0
47103,0.0
47104,0.0
47105,0.0
47106,0.0
47107,0.0
47108,0.0
47109,0.0
47110,0.0
47111,0.0
47112,0.0
47113,0.0
47114,0.0
47115,0.0
47116,0.06
47117,0.17
47118,0.21
47119,0.01
47120,0.14
47121,0.09
47122,0.21
47123,0.21
47124,0.11
47125,0.01
47126,0.15
47127,0.09
47128,0.05
47129,0.04
47130,0.03
47131,0.03
